"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40365","TC01 - Positive: Verify Post Lifecycle (Create, View, Delete)","Surefire suite","Fri Jan 02 16:24:10 UTC 2026","passed","Fri Jan 02 16:24:50 UTC 2026","project_orangehrm.Test.Buzz_Newsfeed_Test","Surefire test","project_orangehrm.Test.Buzz_Newsfeed_Test","verifyPost_Lifecycle_Success"
"","0","TC08 - Verify Modules Page Load and Save","Surefire suite","Fri Jan 02 16:26:18 UTC 2026","skipped","Fri Jan 02 16:26:18 UTC 2026","project_orangehrm.Test.Admin_Configuration_Test","Surefire test","project_orangehrm.Test.Admin_Configuration_Test","verifyModules_Configuration_Save"
"","12308","TC07 - Verify Organization Unit Lifecycle: Enable Edit, Create, Verify, Delete","Surefire suite","Fri Jan 02 16:28:18 UTC 2026","passed","Fri Jan 02 16:28:31 UTC 2026","project_orangehrm.Test.AdminOrganizationTest","Surefire test","project_orangehrm.Test.AdminOrganizationTest","verifyStructure_Lifecycle_Success"
"","0","TC12 - Verify Project Search by Project Name","Surefire suite","Fri Jan 02 16:24:32 UTC 2026","skipped","Fri Jan 02 16:24:32 UTC 2026","project_orangehrm.Test.Time_ProjectInfo_Test","Surefire test","project_orangehrm.Test.Time_ProjectInfo_Test","verifyProject_SearchByName_Success"
"","0","TC05 - Verify My Attendance Records","Surefire suite","Fri Jan 02 16:25:15 UTC 2026","skipped","Fri Jan 02 16:25:15 UTC 2026","project_orangehrm.Test.Time_Attendance_Test","Surefire test","project_orangehrm.Test.Time_Attendance_Test","verifyMyRecords_View_Success"
"","0","TC08 - Verify Leave Reject Action","Surefire suite","Fri Jan 02 16:27:05 UTC 2026","skipped","Fri Jan 02 16:27:05 UTC 2026","project_orangehrm.Test.Leave_LeaveList_Test","Surefire test","project_orangehrm.Test.Leave_LeaveList_Test","verifyLeaveList_Reject_Success"
"","1","TC02 - Verify Personal Details Edit","Surefire suite","Fri Jan 02 16:25:12 UTC 2026","skipped","Fri Jan 02 16:25:12 UTC 2026","project_orangehrm.Test.PIM_EmployeeDetails_Test","Surefire test","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyPersonalDetails_Edit_Success"
"","0","TC04 - Verify Custom Field Validation Errors","Surefire suite","Fri Jan 02 16:24:17 UTC 2026","skipped","Fri Jan 02 16:24:17 UTC 2026","project_orangehrm.Test.PIM_Configuration_Test","Surefire test","project_orangehrm.Test.PIM_Configuration_Test","verifyCustomField_EmptyFields_ShowError"
"","1","TC06 - Verify Customer Validation","Surefire suite","Fri Jan 02 16:23:37 UTC 2026","skipped","Fri Jan 02 16:23:37 UTC 2026","project_orangehrm.Test.Time_ProjectInfo_Test","Surefire test","project_orangehrm.Test.Time_ProjectInfo_Test","verifyCustomer_Validation_Error"
"","0","TC07 - Verify My Leave Filter by Date Range","Surefire suite","Fri Jan 02 16:25:28 UTC 2026","skipped","Fri Jan 02 16:25:28 UTC 2026","project_orangehrm.Test.Leave_ApplyLeave_Test","Surefire test","project_orangehrm.Test.Leave_ApplyLeave_Test","verifyMyLeave_FilterByDateRange_Success"
"","1","TC12 - Verify updating Employment Status Name","Surefire suite","Fri Jan 02 16:25:07 UTC 2026","skipped","Fri Jan 02 16:25:07 UTC 2026","project_orangehrm.Test.AdminJobTest","Surefire test","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_Update_Success"
"","0","TC14 - Verify Languages Add","Surefire suite","Fri Jan 02 16:26:16 UTC 2026","skipped","Fri Jan 02 16:26:16 UTC 2026","project_orangehrm.Test.PIM_EmployeeDetails_Test","Surefire test","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyQualifications_Languages_Add_Success"
"","26294","TC18 - Verify Membership Lifecycle: Create, Edit, Delete","Surefire suite","Fri Jan 02 16:33:01 UTC 2026","passed","Fri Jan 02 16:33:27 UTC 2026","project_orangehrm.Test.Admin_Qualifications_Test","Surefire test","project_orangehrm.Test.Admin_Qualifications_Test","verifyMemberships_Lifecycle_Edit"
"","0","TC09 - Verify My Leave Reset Filters","Surefire suite","Fri Jan 02 16:25:48 UTC 2026","skipped","Fri Jan 02 16:25:48 UTC 2026","project_orangehrm.Test.Leave_ApplyLeave_Test","Surefire test","project_orangehrm.Test.Leave_ApplyLeave_Test","verifyMyLeave_ResetFilters_Success"
