"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11438","TC02 - Verify Add Candidate Validation","Surefire suite","Mon Dec 29 20:35:36 UTC 2025","passed","Mon Dec 29 20:35:48 UTC 2025","project_orangehrm.Test.Recruitment_CandidateWorkflow_Test","Surefire test","project_orangehrm.Test.Recruitment_CandidateWorkflow_Test","verifyCandidate_Add_Validation"
"","19799","TC01 - Verify Search Candidate by Name and Status","Surefire suite","Mon Dec 29 20:35:10 UTC 2025","failed","Mon Dec 29 20:35:29 UTC 2025","project_orangehrm.Test.Recruitment_Search_And_Data_Test","Surefire test","project_orangehrm.Test.Recruitment_Search_And_Data_Test","verifyCandidate_Search_Success"
"","10049","TC02 - Cleanup Post - Updated Text","Surefire suite","Mon Dec 29 20:42:57 UTC 2025","passed","Mon Dec 29 20:43:07 UTC 2025","project_orangehrm.TestCleaning.BuzzTestCleaning","Surefire test","project_orangehrm.TestCleaning.BuzzTestCleaning","cleanUpPost_UpdatedText"
"","2020","TC02 - Negative: Verify validation errors for all required fields in User Form","Surefire suite","Mon Dec 29 20:35:06 UTC 2025","passed","Mon Dec 29 20:35:08 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Surefire test","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_EmptyFields_ShowError"
"","14790","TC07 - Verify Employee Claims Approve Action","Surefire suite","Mon Dec 29 20:36:41 UTC 2025","broken","Mon Dec 29 20:36:56 UTC 2025","project_orangehrm.Test.Claim_EmployeeClaims_Test","Surefire test","project_orangehrm.Test.Claim_EmployeeClaims_Test","verifyEmployeeClaims_Approve_Success"
"","16961","TC02 - Verify Supervisor Grading Employee Review","Surefire suite","Mon Dec 29 20:35:49 UTC 2025","broken","Mon Dec 29 20:36:06 UTC 2025","project_orangehrm.Test.Performance_Evaluation_Test","Surefire test","project_orangehrm.Test.Performance_Evaluation_Test","verifySupervisorReview_Submit_Success"
"","3232","TC10 - Verify Duplicate Username Error","Surefire suite","Mon Dec 29 20:37:45 UTC 2025","passed","Mon Dec 29 20:37:48 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Surefire test","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_DuplicateUsername_ShowError"
"","20973","TC04 - Negative: Verify Post Creation with Empty Content","Surefire suite","Mon Dec 29 20:36:36 UTC 2025","broken","Mon Dec 29 20:36:57 UTC 2025","project_orangehrm.Test.Buzz_Newsfeed_Test","Surefire test","project_orangehrm.Test.Buzz_Newsfeed_Test","verifyEmptyPost_Error"
"","3201","TC06 - Verify Reset Button functionality","Surefire suite","Mon Dec 29 20:36:46 UTC 2025","passed","Mon Dec 29 20:36:49 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Surefire test","project_orangehrm.Test.AdminOrganizationTest","verifyLocation_ResetFilter_Success"
"","15762","TC02 - Verify Apply Leave Validation - Empty Fields","Surefire suite","Mon Dec 29 20:35:40 UTC 2025","failed","Mon Dec 29 20:35:56 UTC 2025","project_orangehrm.Test.Leave_ApplyLeave_Test","Surefire test","project_orangehrm.Test.Leave_ApplyLeave_Test","verifyApplyLeave_EmptyFields_ShowError"
